New_File_name,Set,Numéro,File_name,Rareté,Encre,Encre #,Nom FR,Sous-titre FR,Catégorie,Classifications,Encrable,Coût,Force,Volonté,Lore
01_FR_1.jpg,1.0,1,01•FR•001 {U} - ❶① Coût 04✔ - ✟.jpg,U,Ambre,❶,Ariel,Sur des jambes humaines,Personnage,Storyborn • Héros • Princesse,1,4.0,3,4,2
01_FR_2.jpg,1.0,2,01•FR•002 {SR} - ❶① Coût 03✔ - ✟.jpg,SR,Ambre,❶,Ariel,Chanteuse exceptionnelle,Personnage,Storyborn • Héros • Princesse,1,3.0,2,3,1
01_FR_3.jpg,1.0,3,01•FR•003 {U} - ❶① Coût 04✔ - ☥.jpg,U,Ambre,❶,Cendrillon,Douce et charmante,Personnage,Storyborn • Héros • Princesse,1,4.0,2,5,2
01_FR_4.jpg,1.0,4,01•FR•004 {U} - ❶① Coût 05✔ - ✟.jpg,U,Ambre,❶,Dingo,Mousquetaire,Personnage,Dreamborn • Héros • Mousquetaire,1,5.0,3,6,1
01_FR_5.jpg,1.0,5,01•FR•005 {R} - ❶① Coût 08✖ - ✟.jpg,R,Ambre,❶,Hadès,Roi de l'Olympe,Personnage,Floodborn • Méchant • Roi • Dieu,0,8.0,6,7,1
01_FR_6.jpg,1.0,6,01•FR•006 {R} - ❶① Coût 04✖ - ✟.jpg,R,Ambre,❶,Hadès,Seigneur des Enfers,Personnage,Storyborn • Méchant • Dieu,0,4.0,3,2,1
01_FR_7.jpg,1.0,7,01•FR•007 {C} - ❶① Coût 01✔ - ✟.jpg,C,Ambre,❶,Heihei,Picoreur de bateau,Personnage,Storyborn • Allié,1,1.0,1,2,1
01_FR_8.jpg,1.0,8,01•FR•008 {U} - ❶① Coût 02✔ - ✟.jpg,U,Ambre,❶,Le fou,Empoté,Personnage,Storyborn • Allié,1,2.0,1,2,2
01_FR_9.jpg,1.0,9,01•FR•009 {R} - ❶① Coût 01✖ - ✟.jpg,R,Ambre,❶,Lilo,Faisant un voeu,Personnage,Storyborn • Héros,0,1.0,1,1,2
01_FR_10.jpg,1.0,10,01•FR•010 {SR} - ❶① Coût 05✔ - ✟.jpg,SR,Ambre,❶,Maximus,Cheval du palais,Personnage,Storyborn • Allié,1,5.0,4,5,1
01_FR_11.jpg,1.0,11,01•FR•011 {U} - ❶① Coût 03✔ - ✟.jpg,U,Ambre,❶,Maximus,Infatigable poursuivant,Personnage,Dreamborn • Allié,1,3.0,3,3,1
01_FR_12.jpg,1.0,12,01•FR•012 {U} - ❶① Coût 03✔ - ☥.jpg,U,Ambre,❶,Mickey Mouse,Véritable ami,Personnage,Storyborn • Héros,1,3.0,3,3,2
01_FR_13.jpg,1.0,13,01•FR•013 {C} - ❶① Coût 02✔ - ✟.jpg,C,Ambre,❶,Minnie,Princesse adorée,Personnage,Dreamborn • Princesse,1,2.0,2,3,1
01_FR_14.jpg,1.0,14,01•FR•014 {R} - ❶① Coût 05✔ - ☥.jpg,R,Ambre,❶,Vaiana,de Motunui,Personnage,Storyborn • Héros • Princesse,1,5.0,1,6,3
01_FR_15.jpg,1.0,15,01•FR•015 {C} - ❶① Coût 03✔ - ✟.jpg,C,Ambre,❶,Monsieur Mouche,Fidèle second,Personnage,Dreamborn • Allié • Pirate,1,3.0,2,5,1
01_FR_16.jpg,1.0,16,01•FR•016 {U} - ❶① Coût 04✖ - ✟.jpg,U,Ambre,❶,Prince Philippe,Tueur de dragon,Personnage,Storyborn • Héros • Prince,0,4.0,3,3,2
01_FR_17.jpg,1.0,17,01•FR•017 {C} - ❶① Coût 04✔ - ✟.jpg,C,Ambre,❶,Pumbaa,Poète qui sommeille,Personnage,Storyborn • Allié,1,4.0,3,5,1
01_FR_18.jpg,1.0,18,01•FR•018 {L} - ❶① Coût 04✔ - ✟.jpg,L,Ambre,❶,Raiponce,Guérit les blessures,Personnage,Storyborn • Héros • Princesse,1,4.0,1,5,2
01_FR_19.jpg,1.0,19,01•FR•019 {C} - ❶① Coût 02✔ - ✟.jpg,C,Ambre,❶,Sébastien,Compositeur à la Cour,Personnage,Storyborn • Allié,1,2.0,2,2,1
01_FR_20.jpg,1.0,20,01•FR•020 {C} - ❶① Coût 02✔ - ✟.jpg,C,Ambre,❶,Simba,Lionceau protecteur,Personnage,Storyborn • Héros • Prince,1,2.0,2,3,1
01_FR_21.jpg,1.0,21,01•FR•021 {L} - ❶① Coût 07✔ - ☥.jpg,L,Ambre,❶,Stitch,Surfeur insouciant,Personnage,Dreamborn • Héros • Alien,1,7.0,4,8,2
01_FR_22.jpg,1.0,22,01•FR•022 {C} - ❶① Coût 01✔ - ✟.jpg,C,Ambre,❶,Stitch,Nouveau chien,Personnage,Storyborn • Héros • Alien,1,1.0,2,2,1
01_FR_23.jpg,1.0,23,01•FR•023 {SR} - ❶① Coût 06✔ - ☥.jpg,SR,Ambre,❶,Stitch,Rock star,Personnage,Floodborn • Héros • Alien,1,6.0,3,5,3
01_FR_24.jpg,1.0,24,01•FR•024 {C} - ❶① Coût 01✔ - ✟.jpg,C,Ambre,❶,Timon,Dénicheur de larves,Personnage,Storyborn • Allié,1,1.0,1,2,1
01_FR_25.jpg,1.0,25,01•FR•025 {U} - ❶③ Coût 02✔ - ☥.jpg,U,Ambre,❶,C'est la fête,,Action,Action • Chanson,1,2.0,,,
01_FR_26.jpg,1.0,26,01•FR•026 {C} - ❶② Coût 01✔ - ✟.jpg,C,Ambre,❶,Très mauvais caractère !,,Action,Action,1,1.0,,,
01_FR_27.jpg,1.0,27,01•FR•027 {C} - ❶③ Coût 04✔ - ✟.jpg,C,Ambre,❶,Hakuna Matata,,Action,Action • Chanson,1,4.0,,,
